sinit scanner runtrial onsettime Name Bid RT 
sbmock2 1 1 3.016194e+00 apple.bmp 0 1.704084e+00 
sbmock2 1 2 8.017370e+00 bottledwater.bmp 0 1.227368e+00 
sbmock2 1 3 1.401782e+01 bigmac.bmp 1 1.858963e+00 
sbmock2 1 4 2.001557e+01 gummibears.bmp 3 9.350568e-01 
sbmock2 1 5 2.601515e+01 chewy_bar.bmp 0 1.795793e+00 
sbmock2 1 6 3.101443e+01 cucumber.bmp 1 2.864842e+00 
sbmock2 1 7 3.601407e+01 rice.bmp 2 2.507530e+00 
sbmock2 1 8 4.101418e+01 grapes.bmp 1 3.792038e+00 
sbmock2 1 9 4.701370e+01 sprite.bmp 3 1.192621e+00 
sbmock2 1 10 5.701280e+01 skimmilk.bmp 0 3.417264e+00 
sbmock2 1 11 6.801207e+01 poptart.bmp 999 999 
sbmock2 1 12 7.501165e+01 arizonasweettea.bmp 0 1.489787e+00 
sbmock2 1 13 8.101120e+01 pintobeans.bmp 0 1.436207e+00 
sbmock2 1 14 8.801088e+01 caprisun.bmp 1 2.444482e+00 
sbmock2 1 15 1.000100e+02 cereal2.bmp 0 1.335187e+00 
sbmock2 1 16 1.050097e+02 popcorn.bmp 3 1.889639e+00 
sbmock2 1 17 1.110092e+02 salad.bmp 0 1.545424e+00 
sbmock2 1 18 1.160093e+02 m&ms.bmp 3 9.688976e-01 
sbmock2 1 19 1.230086e+02 pastry.bmp 3 1.841625e+00 
sbmock2 1 20 1.280085e+02 sprite.bmp 3 8.264492e-01 
sbmock2 1 21 1.340087e+02 taquitos.bmp 0 1.602490e+00 
sbmock2 1 22 1.390076e+02 cocacola.bmp 3 7.446675e-01 
sbmock2 1 23 1.490235e+02 cereal.bmp 2 2.364703e+00 
sbmock2 1 24 1.550074e+02 cucumber.bmp 1 1.291996e+00 
sbmock2 1 25 1.620228e+02 caprisun_roaringwater.bmp 2 1.635272e+00 
sbmock2 1 26 1.670227e+02 nachos.bmp 3 1.722757e+00 
sbmock2 1 27 1.760217e+02 babycarrots.bmp 0 1.089317e+00 
sbmock2 1 28 1.810216e+02 donut.bmp 3 1.301024e+00 
sbmock2 1 29 1.860213e+02 rice.bmp 2 3.553231e+00 
sbmock2 1 30 1.920208e+02 rockstar_sugarfree.bmp 0 8.904687e-01 
sbmock2 1 31 1.970210e+02 grainbread.bmp 0 2.419263e+00 
sbmock2 1 32 2.070198e+02 bottledwater.bmp 0 1.372765e+00 
sbmock2 1 33 2.130196e+02 rockstar.bmp 0 1.480615e+00 
sbmock2 1 34 2.280185e+02 limewater.bmp 0 1.217516e+00 
sbmock2 1 35 2.390177e+02 avocado.bmp 0 1.432171e+00 
sbmock2 1 36 2.440175e+02 yogurt.bmp 0 1.160746e+00 
sbmock2 1 37 2.510184e+02 englishmuffin.bmp 1 1.861431e+00 
sbmock2 1 38 2.620163e+02 rockstar_sugarfree.bmp 0 8.396290e-01 
sbmock2 1 39 2.690166e+02 grapes.bmp 0 1.936359e+00 
sbmock2 1 40 2.740156e+02 chewy_bar.bmp 0 1.945477e+00 
sbmock2 1 41 2.830150e+02 taquitos.bmp 0 1.675560e+00 
sbmock2 1 42 2.910145e+02 gatorade_lowcal.bmp 3 2.075434e+00 
sbmock2 1 43 2.970140e+02 tampico.bmp 0 2.380095e+00 
sbmock2 1 44 3.030137e+02 gatorade.bmp 3 1.407197e+00 
sbmock2 1 45 3.090133e+02 salad.bmp 0 8.547950e-01 
sbmock2 1 46 3.140137e+02 quench.bmp 0 1.419767e+00 
sbmock2 1 47 3.210126e+02 waffles.bmp 3 1.492670e+00 
sbmock2 1 48 3.280121e+02 stringcheese.bmp 0 9.393278e-01 
sbmock2 1 49 3.340118e+02 dietcoke.bmp 3 1.011135e+00 
sbmock2 1 50 3.460111e+02 rockstar.bmp 0 1.180804e+00 
